id,level,comparison,similarity
Robbe,MiniKlexikon,source_vs_target,0.397
Robbe,Klexikon,source_vs_target,0.4593
Libellen,MiniKlexikon,source_vs_target,0.4897
Biber,MiniKlexikon,source_vs_target,0.4931
Hecht,Klexikon,source_vs_target,0.4976
Regenwürmer,MiniKlexikon,source_vs_target,0.5148
Lachs,MiniKlexikon,source_vs_target,0.5214
Hecht,MiniKlexikon,source_vs_target,0.5279
Regenwürmer,Klexikon,source_vs_target,0.5303
Nagetiere,Klexikon,source_vs_target,0.5321
Blinde Kuh,MiniKlexikon,source_vs_target,0.533
Forelle,MiniKlexikon,source_vs_target,0.5356
Wespen,MiniKlexikon,source_vs_target,0.5382
Biber,Klexikon,source_vs_target,0.5432
Zeitzone,MiniKlexikon,source_vs_target,0.5453
Steppe,Klexikon,source_vs_target,0.5456
Faultiere,MiniKlexikon,source_vs_target,0.5458
Grenze,MiniKlexikon,source_vs_target,0.5533
Tierarten,MiniKlexikon,source_vs_target,0.5546
Kapitalismus,MiniKlexikon,source_vs_target,0.5631
Steppe,MiniKlexikon,source_vs_target,0.5802
Nagetiere,MiniKlexikon,source_vs_target,0.581
Pronomen,MiniKlexikon,source_vs_target,0.5879
China,MiniKlexikon,source_vs_target,0.5913
Lachs,Klexikon,source_vs_target,0.599
Roggen,MiniKlexikon,source_vs_target,0.5999
China,Klexikon,source_vs_target,0.6034
Laubbaum,MiniKlexikon,source_vs_target,0.6036
Nikolaus Kopernikus,MiniKlexikon,source_vs_target,0.6047
Nikolaus Kopernikus,Klexikon,source_vs_target,0.607
Maulwürfe,MiniKlexikon,source_vs_target,0.6102
Pronomen,Klexikon,source_vs_target,0.6111
Hirsche,MiniKlexikon,source_vs_target,0.6159
Mathematik,MiniKlexikon,source_vs_target,0.6212
Schwalben,MiniKlexikon,source_vs_target,0.6214
Maus,Klexikon,source_vs_target,0.6234
Josef Stalin,MiniKlexikon,source_vs_target,0.6269
WC,Klexikon,source_vs_target,0.6278
Roggen,Klexikon,source_vs_target,0.6299
Aschermittwoch,Klexikon,source_vs_target,0.6322
Wespen,Klexikon,source_vs_target,0.6341
Schwalben,Klexikon,source_vs_target,0.6399
Gas,MiniKlexikon,source_vs_target,0.6409
Forelle,Klexikon,source_vs_target,0.6423
Schule,MiniKlexikon,source_vs_target,0.6433
Schwäne,MiniKlexikon,source_vs_target,0.6436
Josef Stalin,Klexikon,source_vs_target,0.6441
Verdauung,Klexikon,source_vs_target,0.6452
Texas,Klexikon,source_vs_target,0.6483
Pandas,MiniKlexikon,source_vs_target,0.6485
Bären,MiniKlexikon,source_vs_target,0.6499
Insekten,MiniKlexikon,source_vs_target,0.6517
Leuchtturm,Klexikon,source_vs_target,0.6519
Faultiere,Klexikon,source_vs_target,0.6527
Kängurus,MiniKlexikon,source_vs_target,0.6543
Vögel,MiniKlexikon,source_vs_target,0.6595
Luchse,MiniKlexikon,source_vs_target,0.6613
Schweine,MiniKlexikon,source_vs_target,0.6619
Pädagogik,MiniKlexikon,source_vs_target,0.6621
Leichtathletik,MiniKlexikon,source_vs_target,0.6628
Rosen,MiniKlexikon,source_vs_target,0.6658
Tierarten,Klexikon,source_vs_target,0.6659
Kinderarzt,MiniKlexikon,source_vs_target,0.6664
Texas,MiniKlexikon,source_vs_target,0.667
Leben,MiniKlexikon,source_vs_target,0.6681
Dämmerung,MiniKlexikon,source_vs_target,0.6689
Moose,MiniKlexikon,source_vs_target,0.6725
Blinde Kuh,Klexikon,source_vs_target,0.6751
Hygiene,MiniKlexikon,source_vs_target,0.6759
Schwäne,Klexikon,source_vs_target,0.6775
Gesetz,MiniKlexikon,source_vs_target,0.6779
Waage,MiniKlexikon,source_vs_target,0.6783
WC,MiniKlexikon,source_vs_target,0.6784
Wort,MiniKlexikon,source_vs_target,0.6799
Raubtiere,MiniKlexikon,source_vs_target,0.6801
Schnecken,MiniKlexikon,source_vs_target,0.6801
Zeitrechnung,Klexikon,source_vs_target,0.6804
Leichtathletik,Klexikon,source_vs_target,0.6812
Kartoffel,MiniKlexikon,source_vs_target,0.6862
Aschermittwoch,MiniKlexikon,source_vs_target,0.6874
Siebenjähriger Krieg,Klexikon,source_vs_target,0.6876
Huhn,Klexikon,source_vs_target,0.6895
Palme,MiniKlexikon,source_vs_target,0.6927
Palmen,MiniKlexikon,source_vs_target,0.6927
Museum,Klexikon,source_vs_target,0.6935
Haut,MiniKlexikon,source_vs_target,0.6947
Kühe,Klexikon,source_vs_target,0.6963
Dornröschen,MiniKlexikon,source_vs_target,0.6969
Waise,MiniKlexikon,source_vs_target,0.6969
Siebenjähriger Krieg,MiniKlexikon,source_vs_target,0.697
Maus,MiniKlexikon,source_vs_target,0.6973
Porzellan,MiniKlexikon,source_vs_target,0.6973
Kathedrale,MiniKlexikon,source_vs_target,0.6975
Gestein,Klexikon,source_vs_target,0.6977
